1,1,1,2,0,2,2
2,1,5,6,6,2,1
3,1,3,4,0,2,2
4,1,7,8,1,1,1
5,1,9,10,1,2,2
6,1,14,15,0,0,0
7,1,11,12,0,0,0
8,1,13,16,4,1,1
9,1,23,24,0,0,0
10,1,18,19,1,2,2
11,1,17,20,7,0,1
12,1,21,22,1,0,1
13,1,27,28,1,0,1
14,1,31,32,0,0,0
15,1,29,30,3,2,1
16,1,25,26,2,0,1
17,2,8,6,0,2,2
18,2,1,3,1,3,2
19,2,4,2,1,1,0
20,2,5,7,0,0,0
21,2,15,16,0,1,2
22,2,12,10,2,0,1
23,2,13,14,2,1,1
24,2,9,11,2,0,1
25,2,19,20,0,1,2
26,2,21,23,0,2,2
27,2,24,22,4,1,1
28,2,17,18,1,1,0
29,2,28,26,3,3,0
30,2,32,30,2,3,2
31,2,25,27,1,0,1
32,2,29,31,2,0,1
33,3,4,1,2,0,1
34,3,2,3,1,2,2
35,3,8,5,0,3,2
36,3,6,7,0,1,2
37,3,16,14,1,0,1
38,3,15,13,1,0,1
39,3,12,9,0,2,2
40,3,10,11,1,2,2
41,3,24,21,0,0,0
42,3,22,23,1,2,2
43,3,19,17,2,1,1
44,3,20,18,2,4,2
45,3,30,31,0,2,2
46,3,32,29,2,1,1
47,3,26,27,2,3,2
48,3,28,25,1,0,1
49,4,4,7,3,1,1
50,4,9,16,2,1,1
51,4,13,12,3,1,1
52,4,5,3,3,0,1
53,4,19,24,1,1,0
54,4,25,32,4,1,1
55,4,23,17,0,0,0
56,4,29,27,6,1,1
57,5,24,25,1,1,0
58,5,4,9,2,2,0
59,5,23,29,1,0,1
60,5,5,13,1,2,2
61,6,9,24,3,0,1
62,6,13,23,2,0,1
63,7,24,23,2,1,1
64,7,13,9,3,3,0
